recipient,name
"Юридичні особи,Суб’єкти господарювання",Видача довідок про відсутність (наявність) обмежень (обтяжень) на земельну ділянку.
"Юридичні особи,Суб’єкти господарювання",Видача довідок з Державного реєстру суб’єктів оціночної діяльності
"Юридичні особи,Суб’єкти господарювання",Видача довідки про функціональне призначення тимчасової споруди (MAФ)
"Юридичні особи,Суб’єкти господарювання",Видача довідки про сплату роботодавцем податків та зборів (обов'язкових платежів)
"Юридичні особи,Суб’єкти господарювання","Видача довідки про сплату податку на доходи фізичних осіб платником податку – резидентом, який виїжджає за кордон на постійне місце проживання, та про відсутність податкових зобов’язань з цього податку"
"Юридичні особи,Суб’єкти господарювання",Видача довідки про подану декларацію про майновий стан і доходи (податкову декларацію)
"Юридичні особи,Суб’єкти господарювання","Видача довідки про підтвердження пільг з оподаткування при митному оформленні товарів, які надходять у рамках міжнародних договорів з надання Україні міжнародної технічної допомоги"
"Юридичні особи,Суб’єкти господарювання",Видача довідки про набуття або підтвердження сільськогосподарським товаровиробником статусу платника фіксованого сільськогосподарського податку
"Юридичні особи,Суб’єкти господарювання","Видача довідки про відсутність заборгованості з платежів до бюджету, що контролюються органами доходів і зборів"
"Юридичні особи,Суб’єкти господарювання","Видача гірничих відводів для розроблення родовищ корисних копалин загальнодержавного значення, будівництва та експлуатації підземних споруд та інших цілей, не пов’язаних з видобуванням корисних копалин"
"Юридичні особи,Суб’єкти господарювання",Видача висновку щодо продовження строків розрахунків за зовнішньоекономічними операціями
"Юридичні особи,Суб’єкти господарювання",Видача висновку про якість ввезених лікарських засобів
"Юридичні особи,Суб’єкти господарювання","Видача висновку про те, що товари, які використовуються для розвитку виробництва і забезпечення споживання біологічних видів палива, не виробляються та не мають аналогів в Україні"
"Юридичні особи,Суб’єкти господарювання",Видача видавництвам та підприємствам книгорозповсюдження довідки про випуск та/або розповсюдження не менш як 50 відсотків книжкової продукції державною мовою
"Юридичні особи,Суб’єкти господарювання","Видача атестата відповідності комплексних систем захисту інформації інформаційних, телекомунікаційних та інформаційно-телекомунікаційних систем вимогам нормативних документів з технічного захисту інформації"
"Юридичні особи,Суб’єкти господарювання",Видача акту техничного стану будинку на предмет аварійності окремих конструктивних елементів будинку або будинку в цілому
"Юридичні особи,Суб’єкти господарювання","Ведення реєстру, видача виписки з реєстру гідротехнічних споруд рибогосподарських водних об’єктів щодо їх технічної експлуатації та використання"
"Юридичні особи,Суб’єкти господарювання",Ведення реєстру концесійних договорів
"Юридичні особи,Суб’єкти господарювання","Ведення реєстру аудиторів і аудиторських фірм, які можуть проводити аудиторські перевірки фінансових установ, що здійснюють діяльність на ринку цінних паперів та їх похідних"
"Юридичні особи,Суб’єкти господарювання","Ведення обліку та присвоєння номерів суб’єктам господарювання, які здійснюють консервне та пресервне виробництво"
"Юридичні особи,Суб’єкти господарювання",Ведення Єдиного реєстру об’єктів державної власності та надання інформації (відомості або витяг) з нього
"Юридичні особи,Суб’єкти господарювання",Ведення Єдиного електронного всеукраїнського реєстру спортивних споруд
"Юридичні особи,Суб’єкти господарювання","Ведення державного реєстру фінансових установ, які надають фінансові послуги на ринку цінних паперів"
"Юридичні особи,Суб’єкти господарювання",Ведення Державного реєстру уповноважених рейтингових агентств
"Юридичні особи,Суб’єкти господарювання","Атестація професіоналів з вищою немедичною освітою, які працюють в системі охорони здоров’я"
"Юридичні особи,Суб’єкти господарювання",Атестація лікарів на присвоєння (підтвердження) кваліфікаційної категорії
"Юридичні особи,Суб’єкти господарювання","Атестація виробництва молока, молочної сировини та молочних продуктів суб’єктів господарювання"
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензій у сфері централізованого водопостачання та водовідведення
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензій у сфері теплопостачання
"Юридичні особи,Суб’єкти господарювання","Анулювання ліцензії на транспортування природного, нафтового газу і газу (метану) вугільних родовищ трубопроводами"
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензії на транспортування нафтопродуктів магістральними трубопроводами
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензії на транспортування нафти магістральними трубопроводами
"Юридичні особи,Суб’єкти господарювання","Анулювання ліцензії на розподіл природного, нафтового газу і газу (метану) вугільних родовищ"
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензії на право провадження господарської діяльності з централізованого водопостачання та водовідведення
"Юридичні особи,Суб’єкти господарювання","Анулювання ліцензії на право провадження господарської діяльності з виробництва теплової енергії (крім діяльності з виробництва теплової енергії на теплоелектроцентралях, теплоелектростанціях, атомних електростанціях і когенераційних установках та установ"
"Юридичні особи,Суб’єкти господарювання","Анулювання ліцензії на постачання природного газу, газу (метану) вугільних родовищ за регульованим тарифом"
"Юридичні особи,Суб’єкти господарювання","Анулювання ліцензії на постачання природного газу, газу (метану) вугільних родовищ за нерегульованим тарифом"
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензії на постачання електричної енергії за регульованим тарифом
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензії на постачання електричної енергії за нерегульованим тарифом
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензії на передачу електричної енергії місцевими (локальними) електричними мережами
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензії на передачу електричної енергії магістральними та міждержавними електричними мережами
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензії на оптове постачання електричної енергії
"Юридичні особи,Суб’єкти господарювання",Анулювання ліцензії на комбіноване виробництво теплової та електричної енергії
"Юридичні особи,Суб’єкти господарювання","Анулювання ліцензії на зберігання природного газу, газу (метану) вугільних родовищ в обсягах, що перевищують рівень, встановлений ліцензійними умовами"
"Юридичні особи,Суб’єкти господарювання","Анулювання ліцензії на виробництво теплової енергії на теплоелектроцентралях, когенераційних установках та установках з використанням нетрадиційних або поновлюваних джерел енергії"
Фізичні особи,"Усиновлення дитини-сироти чи дитини, позбавленої батьківського піклування"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Тимчасове обмеження руху транспорту
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Скасування дії дозволу на розміщення зовнішньої реклами
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Сертифікат відповідність закінченого будівництва об'єкта
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Свідоцтво про атестацію калібрування засобів вимірювальної техніки та вимірювання
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Реєстрація машини, причепа з дня придбання яких минуло 10 днів"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Реєстрація документів, що посвідчують право власності чи користування (оренди) земельними ділянками."
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Проведення технічної експертизи, аналізу та Видача висновку про технічний стан машини, причепа, що стали непридатними внаслідок аварії чи стихійного лиха"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Проведення річного державного технічного огляду машини, причепа."
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Проведення огляду під час реєстрації, перереєстрації та зняття з обліку тракторного причепа, інших причіпних машин"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Проведення огляду під час реєстрації, перереєстрації та зняття з обліку трактора, самохідного шасі, самохідної сільськогосподарської, меліоративної та дорожньо-будівельної машини"
Фізичні особи,Присвоєння поштових адрес окремо розташованим об’єктам будівництва та новозбудованим приватним житловим будинкам
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Присвоєння будівельної адреси.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Прийняття заяви на приватизацію комунального майна
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Прийняття заяви на включення до переліку об'єктів, які підлягають приватизації ком. майна"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Приймання іспиту на одержання посвідчення тракториста-машиніста.
Фізичні особи,Призначення опіки над майном дітей-сиріт та дітей позбавлених батьківського піклування
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Погодження проектів землеустрою щодо відведення земельних ділянок усіх категорій та форм власності
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Погодження клопотання водокористувачів з обґрунтуванням потреби у воді для отримання дозволу на спеціальне водокористування (в частині погодження клопотання водокористувачів з обґрунтуванням потреби у воді використання поверхневих вод в межах м. Києва)
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Погодження відчуження або передачі пам’яток місцевого значення та щойно виявлених об’єктів культурної спадщини їхніми власниками чи уповноваженими ними органами іншим особам у володіння, користування або управління (приватизація)"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Погодження відчуження або передачі пам’яток місцевого значення та щойно виявлених об’єктів культурної спадщини їхніми власниками чи уповноваженими ними органами іншим особам у володіння, користування або управління (приватизація шляхом продажу на аукціоні"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Погодження відчуження або передачі пам’яток місцевого значення та щойно виявлених об’єктів культурної спадщини їхніми власниками чи уповноваженими ними органами іншим особам у володіння, користування або управління (оренда)"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Погодження відчуження або передачі пам’яток місцевого значення та щойно виявлених об’єктів культурної спадщини їхніми власниками чи уповноваженими ними органами іншим особам у володіння, користування або управління (іпотека)"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Погодження відчуження або передачі пам’яток місцевого значення та щойно виявлених об’єктів культурної спадщини їхніми власниками чи уповноваженими ними органами іншим особам у володіння, користування або управління (відчуження (продаж, дарування))"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Підготовка проекту розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) про надання дозволу на видалення зелених насаджень
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Переведення житлового приміщення в нежитлове і навпаки
Фізичні особи,Оформлення та видача ордерів
Фізичні особи,Оформлення свідоцтва про поховання
Фізичні особи,Оформлення свідоцтва про поховання
Фізичні особи,Оформлення обміну житла та видача обмінних ордерів
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Ордер на видалення зелених насаджень
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Ордер на видалення аварійних та сухостійних дерев
Фізичні особи,"Облік громадян, які потребують поліпшення житлових умов (взяття на квартирний облік)."
Фізичні особи,"Надання повної цивільної дієздатності фізичній особі, яка досягла шістнадцяти років і працює за трудовим договором, а також неповнолітній особі, яка записана матір’ю або батьком дитини."
Фізичні особи,"Надання житлової площі, службових житлових приміщень та приєднання житлової площі та видача ордеру"
Фізичні особи,Надання житла з фонду соціального призначення.
Фізичні особи,"Надання дозволу на укладення угоди стосовно розподілу спадкового майна, одним із спадкоємців якого є дитина."
Фізичні особи,"Надання дозволу на укладення угод стосовно продажу акцій та сертифікатів, право володіння якими мають діти."
Фізичні особи,"Надання дозволу на укладення угод стосовно житла (майна), право власності на яке або право користування яким мають діти."
Фізичні особи,Надання дозволу на укладення договору про припинення права на аліменти для дитини у зв’язку з набуттям права власності на нерухоме майно
Фізичні особи,"Надання дозволу на оформлення нотаріальних заяв, довіреностей від імені дитини"
Фізичні особи,"Надання дозволу на зняття грошових коштів з банківського рахунку, що належить малолітній дитині."
Фізичні особи,Надання дозволу на зміну прізвища дитини.
Фізичні особи,Надання висновку про доцільність усиновлення та відповідність його інтересам дитини
Фізичні особи,Надання акта обстеження житлово-побутових умов проживання дитини або одного з батьків.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Містобудівні умови і обмеження забудови земельної ділянки.
Фізичні особи,Зарахування на соціальний квартирний облік
Фізичні особи,Зарахування на облік кандидатів в усиновлювачі.
Фізичні особи,Зарахування на облік громадян як потенційних прийомних батьків/батьків-вихователів.
Фізичні особи,Зарахування на облік громадян як потенційних опікунів/піклувальників
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Експлуатаційний дозвіл операторам потужностей (об'єктів), що здійснюють в Україні діяльність з виробництва та/або обігу харчових продуктів, підконтрольні санітарній службі (ДЗ «Київська лінійна санітарно-епідеміологічна станція на Південно-Західній залізн"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Експлуатаційний дозвіл операторам потужностей (об'єктів), що здійснюють в Україні діяльність з виробництва та/або обігу харчових продуктів, підконтрольних санітарній службі (Київська міська санітарно – епідеміологічна станція/ДЗ «Санітарно-епідеміологічна"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Експлуатаційний дозвіл операторам потужностей (об’єктів), які займаються виробництвом харчових продуктів, підконтрольних державній службі ветеринарної медицини та для агропродовольчих ринків"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Експлуатаційний дозвіл для провадження діяльності на потужностях (об'єктах) з переробки неїстівних продуктів тваринного походження
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Експлуатаційний дозвіл для провадження діяльності на потужностях (об'єктах) з виробництва, змішування та приготування кормових добавок, преміксів і кормів"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Дозвіл на рух великогабаритних та великовагових транспортних засобів автомобільними дорогами, вулицями та залізничними переїздами"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Дозвіл на проведення заходів із залученням тварин
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Дозвіл на право здійснення туристичного супроводу фахівцям туристичного супроводу у м. Києві.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Дозвіл на виконання геологічних вишукувань.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Дозвіл на виконання будівельних робіт
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Державна реєстрація юридичної особи.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Декларація про початок виконання підготовчих робіт
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Декларація про початок виконання будівельних робіт
Фізичні особи,"Встановлення опіки/піклування над дітьми-сиротами та дітьми, позбавленими батьківського піклування"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Внесення змін до свідоцтва про реєстрацію машини.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Внесення змін до свідоцтва про реєстрацію машини.
Фізичні особи,Внесення змін до свідоцтва про право власності на житло.
Фізичні особи,Внесення змін до облікових справ.
Фізичні особи,Внесення до паспорта громадянина України відмітки про наявність права здійснювати будь-які платежі за серією та номером паспорта
Фізичні особи,"Влаштування дітей-сиріт та дітей, позбавлених батьківського піклування до прийомної сім’ї/дитячого будинку сімейного типу."
Фізичні особи,Влаштування дитини до державного дитячого закладу за заявою батьків.
Фізичні особи,Включення/ виключення до/із складу службових житлових приміщень.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Висновок державної санітарно – епідеміологічної експертизи щодо ввезення, реалізації та використання сировини, продукції ( вироби, обладнання, технологічні лінії тощо) іноземного виробництва за умови відсутності даних щодо їх безпечності для здоров’я насе"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Висновок державної санітарно – епідеміологічної експертизи на ввезення, реалізацію та використання сировини, продукції ( вироби, обладнання, технологічні лінії тощо) іноземного виробництва за умови відсутності даних щодо їх безпечності для здоров'я населе"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Висновок державної санітарно – епідеміологічної експертизи документації на розроблювані техніку, технології, устаткування, інструменти тощо (Київська міська санітарно – епідеміологічна станція)"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Висновок державної санітарно – епідеміологічної експертизи документації на розроблювані техніку, технології, устаткування, інструменти тощо (ДЗ «Санітарно-епідеміологічна станція на Південно-Західній залізниці» МОЗ України)"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Висновок державної експертизи землевпорядної документації щодо об’єктів, які підлягають обов'язковій (первинній, повторній, додатковій) державній експертизі"
Фізичні особи,"Визначення способів участі у вихованні дитини того з батьків, хто проживає окремо від неї"
Фізичні особи,Визначення місця проживання малолітньої дитини.
Фізичні особи,"Визначення імені та/або прізвища дитини, яка знайдена, покинута в пологовому будинку, іншому закладі охорони здоров’я дитини"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Визначення відповідності вимогам навчальних програм матеріально-технічної бази навчального закладу з підготовки трактористів-машиністів та реєстрація навчальних класів і груп з їх підготовки.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Видача талона про проходження державного технічного огляду
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Видача талона попереджень до посвідчення тракториста-машиніста
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Видача свідоцтва про реєстрацію машини
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Видача свідоцтва про право власності на нерухоме майно
Фізичні особи,Видача свідоцтва про право власності на житло.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Видача свідоцтва на право вивезення (тимчасового вивезення) культурних цінностей з території України.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Видача свідоцтв про право власності на житло
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Видача розпоряджень про приватизацію житла на підставі заяв громадян, які виявили бажання приватизувати займане житло"
Фізичні особи,Видача посвідчень батьків та дитини з багатодітної сім’ї.
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Видача посвідчення тракториста-машиніста
Фізичні особи,"Видача посвідчення особам, які постраждали внаслідок Чорнобильської катастрофи"
Фізичні особи,Видача посвідчення опікуна або піклувальника
Фізичні особи,Видача посвідчення «Член сім'ї загиблого»
Фізичні особи,Видача посвідчення «Учасник війни»
Фізичні особи,Видача посвідчення «Інвалід війни»
Фізичні особи,Видача погодження про зняття з реєстрації підопічного
Фізичні особи,Видача ордеру на житлову та службову житлову площу.
Фізичні особи,Видача ордерів
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Видача номерного знака, дубліката свідоцтва про реєстрацію машини, посвідчення тракториста-машиніста, талона попереджень замість втрачених або таких, що стали непридатними"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Видача номерного знака «Транзит»
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Видача номерного знака ""Транзит"""
Фізичні особи,Видача направлень на виготовлення технічних та інших засобів реабілітації
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Видача копії розпорядження про призначення управителя та затвердження договору про управління майном, що використовується у підприємницькій діяльності та стало власністю дитини"
"Юридичні особи,Фізичні особи,Іноземні громадяни,Суб’єкти господарювання",Видача картки платника податків та внесення до паспорта громадянина України даних про реєстраційний номер облікової картки платника податків з Державного реєстру фізичних осіб-платників податків
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Видача замість втрачених або таких, що стали непридатними свідоцтва про реєстрацію машини."
Фізичні особи,"Видача замість втрачених або таких, що стали непридатними посвідчення тракториста-машиніста."
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Видача замість втрачених або таких, що стали непридатними номерного знака «Транзит»"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Видача замість втрачених або таких, що стали непридатними державного номерного знака"
Фізичні особи,Видача дубліката свідоцтва про право власності на житло.
Фізичні особи,"Видача довідок про перебування на обліку громадян, які бажають вступити до житлово-будівельного кооперативу"
Фізичні особи,Видача довідок про перебування громадян на квартирному та кооперативному обліку на участь у програмі Доступне житло
Фізичні особи,Видача довідок про перебування громадян на квартирному обліку
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Видача довідок про наявність земельних ділянок у власності, користуванні чи оренді."
Фізичні особи,Видача довідок про наявність або відсутність заброньованого жилого приміщення
Фізичні особи,"Видача довідок про наявність (відсутність) рішення суду визнання особи недієздатною або обмежено дієздатною, яка призначається на посаду професійного судді вперше"
Фізичні особи,"Видача довідок про відсутність громадян на обліку, які бажають вступити до житлово-будівельного кооперативу"
Фізичні особи,Видача довідок про відсутність громадян на квартирному обліку
Фізичні особи,Видача довідки про участь в приватизації житла державного житлового фонду.
Фізичні особи,"Видача довідки про перебування у списках бажаючих прийняти участь у програмах «Доступне житло» 50/50, 60/40, 70/30."
Фізичні особи,Видача довідки про перебування на квартирному обліку.
Фізичні особи,"Видача довідки про компенсаційні виплати батькам на дітей, які постраждали внаслідок Чорнобильської катастрофи"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Видача довідки з питань реєстрації,перереєстрації, відчуження машин у випадках передбачених законодавством"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Видача державного номерного знака
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Видача витягів з книг реєстрації документів, що посвідчують право власності чи користування (оренди) земельними ділянками."
Фізичні особи,Видача висновку про доцільність усиновлення дитини дружини (чоловіка) та відповідність його інтересам дитини.
Фізичні особи,Видача «Посвідчення жертви нацистських переслідувань»
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Будівельний паспорт забудови земельної ділянки.
Фізичні особи,Бронювання житла та видача охоронних свідоцтв (броні)
Юридичні особи,Видача дубліката оригіналу установчих документів юридичної особи та/або змін до них.
Юридичні особи,Державна реєстрація припинення діяльності юридичної особи.
Юридичні особи,Державна реєстрація змін до установчих документів юридичної особи.
Юридичні особи,Видача ліцензій на товари експорт та імпорт яких підлягає ліцензуванню
